Karmn_1a,SpTnum_1,M_Msol,eM_Msol,Karmn_1,d_pc_1,ed_pc_1,L_Lsol_1,eL_Lsol,F_bol_E-13_ergcm-2s-1,F_x/F_bol,L_x_E28_ergs-1,eL_x_E28_ergs-1,SpTnum_2,SKG,Ref14,SKG_lit,vsini_kms-1,evsini_kms-1,P_d,eP_d,g_mag_1,eg_mag_1,GG_mag,eGG_mag,RP_mag,eRP_mag,L_x/L_Lsol,Karmn_2,Name,B_mag,eB_mag,Ref25,g_mag_2,eg_mag_2,V_mag,eV_mag,Ref29
J07361-031,1.0,0.5716,0.0132,J07361-031,14.23,0.027,0.061,0.001,96811.67416415676,1.0361353859370554E-4,2.430835810846647,0.39063974136376056,1.0,,,,3.1,1.5,12.2,0.1,10.84,0.12,9.1424,0.0029,8.1068,0.0039,1.0361353859370555E-4,J07361-031,BD-02 2198,11.36,0.01,UCAC4,10.84,0.12,10.034,0.11,UCAC4
J07364+070,5.0,,,J07364+070,8.65,0.07,0.0,0.0,0.0,Infinity,1.442723924816424,0.19216022246766135,5.0,,,,7.9,2.1,,,13.991,0.02,12.0136,0.0087,10.1632,0.0042,Infinity,J07364+070,G 89-032,14.986,0.05,UCAC4,13.991,0.02,13.241,0.01,UCAC4
J07384+240,3.5,0.36,0.0155,J07384+240,19.397,0.012,0.014,0.0,11958.221925388976,0.0021534137442298694,11.594841322325687,1.1423289338923823,3.5,IC,Karmn,,,,3.87,,13.734,0.06,11.7453,0.0029,10.5588,0.0041,0.0021534137442298703,J07384+240,LSPM J0738+2400,14.593,0.03,UCAC4,13.734,0.06,12.98,0.03,UCAC4
J07446+035,4.5,0.1923,0.0307,J07446+035,5.989,0.001,0.011,0.0,98557.9682652354,0.0010869339266652723,4.5983826452332845,0.23188080343602338,4.5,LA/IC,Karmn,bet Pic,4.0,1.5,2.778873,4.4033016E-4,11.761,0.34,9.6922,0.0029,8.4199,0.004,0.001086933926665272,J07446+035,YZ CMi,12.38,0.5,UCAC4,11.761,0.34,11.019,0.22,UCAC4
J07467+574,4.5,0.3252,0.0151,J07467+574,23.115,0.017,0.009,0.0,5413.303373225606,3.3491564000043657E-4,1.1592769463931882,0.4527126858398189,4.5,LA,Karmn,,17.6,0.8,0.8205000162124634,,15.194,0.06,12.8499,0.0028,11.5604,0.0041,3.349156400004367E-4,J07467+574,G 193-065,16.063,0.11,UCAC4,15.194,0.06,14.445,0.09,UCAC4
J07472+503,4.0,0.272,0.014,J07472+503,14.109,0.005,0.008,0.0,12915.320586602244,5.295261684918299E-4,1.6292461926007002,0.32851737706599005,4.0,UMa,Karmn,,10.1,1.5,1.315909,3.4503193E-4,13.875,0.03,11.782,0.0028,10.5596,0.004,5.295261684918299E-4,J07472+503,2MASS J07471385+5020386,14.754,0.04,UCAC4,13.875,0.03,13.092,0.05,UCAC4
J07545+085,2.5,,,J07545+085,19.9,0.5,0.0,0.0,0.0,Infinity,1.4099207736354975,0.3924082187451784,2.5,,,,,,,,13.041,0.02,11.7892,0.0091,10.0429,0.0039,Infinity,J07545+085,LSPM J0754+0832,13.842,0.02,UCAC4,13.041,0.02,12.274,0.02,UCAC4
J07558+833,4.5,0.2635,0.0132,J07558+833,13.092,0.003,0.007,0.0,13124.83107362997,0.0011107190627355384,2.9902779529965993,0.27896680200963886,4.5,HS,Karmn,,12.1,1.5,1.106845,4.090044E-6,13.888,0.04,11.7357,0.0028,10.4973,0.004,0.0011107190627355384,J07558+833,GJ 1101,14.724,0.11,UCAC4,13.888,0.04,13.086,0.03,UCAC4
J07591+173,4.0,,,J07591+173,17.9,0.7,0.0,0.0,0.0,Infinity,2.732074446249864,0.7224179793697825,4.0,,,,,,,,14.519,0.03,12.7063,0.0141,11.1909,0.0046,Infinity,J07591+173,2MASS J07590718+1719474,15.362,0.09,UCAC4,14.519,0.03,13.811,0.06,UCAC4
J08031+203,3.5,,,J08031+203,36.704,1.533,0.0,0.0,0.0,Infinity,49.3118238987892,6.319961768418013,3.5,,,,,,,,14.079,0.05,12.1311,0.0045,10.9063,0.004,Infinity,J08031+203,2MASS J08031018+2022154,14.93,0.02,UCAC4,14.079,0.05,13.342,0.07,UCAC4
