Karmn_1a,SpTnum_1,M_Msol,eM_Msol,Karmn_1,d_pc_1,ed_pc_1,L_Lsol_1,eL_Lsol,F_bol_E-13_ergcm-2s-1,F_x/F_bol,L_x_E28_ergs-1,eL_x_E28_ergs-1,SpTnum_2,SKG,Ref14,SKG_lit,vsini_kms-1,evsini_kms-1,P_d,eP_d,g_mag_1,eg_mag_1,GG_mag,eGG_mag,RP_mag,eRP_mag,L_x/L_Lsol,Karmn_2,Name,B_mag,eB_mag,Ref25,g_mag_2,eg_mag_2,V_mag,eV_mag,Ref29
J14549+411,4.5,0.5602,0.0229,J14549+411,47.879,0.031,0.026,0.0,3644.9438970170054,5.215443849338662E-4,5.215235339187387,1.7146354801405712,4.5,,,,44.1,1.6,6.11,,15.474,0.02,13.2595,0.0028,12.0217,0.004,5.215443849338662E-4,J14549+411,LP 222-015,16.339,0.01,UCAC4,15.474,0.02,14.66,0.05,UCAC4
J15009+454,0.5,,,J15009+454,11.708,0.003,0.0,0.0,0.0,Infinity,1.7867948777921894,0.1717567290939319,0.5,,,,3.0,2.3,,,10.123,0.01,8.4675,0.0028,7.5089,0.0044,Infinity,J15009+454,BD+45  2247,10.452,0.05,UCAC4,10.123,0.01,9.167,0.04,UCAC4
J15126+457,4.0,,,J15126+457,19.016,0.177,0.0,0.0,0.0,Infinity,1.6769174945585448,0.3120148490229826,4.0,,,,10.4,1.1,1.686,,13.974,0.04,12.2802,0.0037,10.7158,0.004,Infinity,J15126+457,G 179-020,14.928,0.08,UCAC4,13.974,0.04,13.328,0.08,UCAC4
J15218+209,1.5,0.5245,0.1077,J15218+209,11.451,0.003,0.046,0.0,112740.160760786,5.847250582708225E-4,10.344721861010393,0.7381689535714218,1.5,LA?,Tet11,LA?,4.3,1.5,3.352507,9.5785846E-4,10.79,0.01,9.1242,0.003,8.0526,0.0047,5.847250582708225E-4,J15218+209,OT Ser,11.513,0.08,UCAC4,10.79,0.01,10.024,0.1,UCAC4
J15238+561,1.0,,,J15238+561,50.755,0.029,0.0,0.0,0.0,Infinity,48.759130845592615,3.816629094941391,1.0,,,,,,,,12.643,0.001,10.9799,0.003,10.0099,0.0045,Infinity,J15238+561,StKM 1-1240,12.892,0.01,UCAC4,12.643,0.001,11.684,0.06,UCAC4
J15238+584,4.0,0.2759,0.0131,J15238+584,23.068,0.01,0.008,0.0,4831.452954737119,8.159036110238702E-4,2.5103723496345274,0.36617557159853076,4.0,,,,20.0,,,,15.171,0.01,12.89,0.0028,11.6562,0.004,8.159036110238705E-4,J15238+584,G 224-065,16.193,0.03,UCAC4,15.171,0.01,14.345,0.01,UCAC4
J15290+467,4.5,,,J15290+467,21.92,0.271,0.0,0.0,0.0,Infinity,2.145398450381165,0.4232144961542876,4.5,,,,20.0,,,,15.7,0.003,13.2528,0.0087,11.833,0.0038,Infinity,J15290+467,RX J1529.0+4646,,,,15.7,0.003,,,
J15305+094,5.5,0.11037,0.00801,J15305+094,8.618,0.003,0.001,0.0,4327.077770392492,9.211759696830228E-4,0.3542842947676907,0.13030124293119233,5.5,,,,16.3,1.6,0.3048,6.0E-4,15.983,0.01,13.0703,0.0028,11.6908,0.0039,9.211759696830225E-4,J15305+094,NLTT 40406,17.181,0.01,UCAC4,15.983,0.01,15.13,0.01,UCAC4
J15368+375,0.0,,,J15368+375,52.655,0.037,0.205,0.006,23761.962489723795,7.068860954676565E-4,55.73301993881786,6.914783211191232,0.0,,,,,,4.61,,11.927,0.01,10.5837,0.003,9.66,0.0049,7.068860954676565E-4,J15368+375,BK CrB,12.567,0.03,UCAC4,11.927,0.01,11.24,0.06,UCAC4
J15416+184,1.5,0.898,0.034,J15416+184,51.635,0.37,0.115,0.004,13861.721738525264,9.859525443300775E-4,43.60769587424231,6.978124953173872,1.5,,,,,,,,13.036,0.1,11.3786,0.0029,10.3231,0.0039,9.859525443300775E-4,J15416+184,StKM 1-1264,13.705,0.07,UCAC4,13.036,0.1,12.317,0.07,UCAC4
J15474+451,4.0,,,J15474+451,22.19,0.01,0.0,0.0,0.0,Infinity,1.8921542755166865,0.40188389738780433,4.0,,,,,,3.54,,14.366,0.03,12.1156,0.0028,10.8673,0.0039,Infinity,J15474+451,LP 177-102,15.199,0.05,UCAC4,14.366,0.03,13.606,0.01,UCAC4
J15476+226,4.5,0.4356,0.0195,J15476+226,28.382,0.135,0.016,0.0,6383.247378754933,5.166649358211247E-4,3.1793495000798635,1.0536777058576923,4.5,LA,Karmn,,,,2.75979995727539,,14.959,0.01,12.6709,0.0029,11.3825,0.0039,5.166649358211246E-4,J15476+226,LSPM J1547+2241,15.955,0.04,UCAC4,14.959,0.01,14.197,0.01,UCAC4
J15480+043,2.5,0.5005,0.0196,J15480+043,29.039,0.023,0.03,0.0,11433.142265807077,8.331042680205724E-4,9.61235682956844,1.2473357436196209,2.5,,Karmn,,20.0,,1.79,,13.534,0.01,11.7178,0.0029,10.5822,0.0041,8.331042680205724E-4,J15480+043,RX J1548.0+0421,14.305,0.02,UCAC4,13.534,0.01,12.834,0.02,UCAC4
J15496+348,4.0,,,J15496+348,16.91,0.037,0.0,0.0,0.0,Infinity,0.752170858615293,0.29395577863992545,4.0,,,,3.0,,,,13.938,0.03,11.9372,0.0034,10.5515,0.004,Infinity,J15496+348,LP 274-008,14.858,0.04,UCAC4,13.938,0.03,13.181,0.02,UCAC4
J15499+796,5.0,0.2913,0.00988,J15499+796,20.764,0.062,0.007,0.0,5217.7549449522585,3.438260417537333E-4,0.9256484981811064,0.228058322741693,5.0,LA,Karmn,,26.9,2.7,0.187766,2.890601E-7,15.583,0.16,13.0259,0.0036,11.6863,0.0039,3.438260417537334E-4,J15499+796,LP 022-420,16.448,0.01,UCAC4,15.583,0.16,14.764,0.01,UCAC4
J15512+306,1.5,0.9308,0.0379,J15512+306,47.306,0.685,0.124,0.005,17807.251415339833,1.064173204908024E-4,5.075084498191394,2.0969874212986284,1.5,,,,,,,,12.971,0.01,11.3658,0.0028,10.333,0.0038,1.0641732049080239E-4,J15512+306,TYC 2572-633-1,13.709,0.01,UCAC4,12.971,0.01,12.266,0.01,UCAC4
J15555+352,4.5,,,J15555+352,27.773,0.018,0.0,0.0,0.0,Infinity,14.695700531518483,2.194201091047523,4.5,,,,6.9,0.8,3.52,,14.452,0.01,12.2853,0.0028,10.9541,0.0067,Infinity,J15555+352,G 180-11A,15.415,0.02,UCAC4,14.452,0.01,13.658,0.03,UCAC4
J15557+686,2.5,0.5224,0.0215,J15557+686,25.613,0.01,0.036,0.001,17635.558437982425,0.0010357483610125115,14.340556889905386,0.7442706434610062,2.5,LA/Cas,Karmn,,,,3.928400039672852,,13.013,0.13,11.1292,0.0029,10.0318,0.0044,0.0010357483610125113,J15557+686,RX J1555.7+6840,13.706,0.16,UCAC4,13.013,0.13,11.975,0.06,UCAC4
J15569+376,2.5,0.6596,0.0257,J15569+376,44.346,0.425,0.051,0.001,8334.295837408179,0.0011018326910935084,21.61200709858907,3.713791522839303,2.5,LA,Karmn,,26.5,1.4,0.6147000193595886,,13.94,0.03,12.1515,0.0028,11.0073,0.0039,0.0011018326910935084,J15569+376,RX J1556.9+3738,14.727,0.04,UCAC4,13.94,0.03,13.188,0.03,UCAC4
J15581+494,1.0,0.6965,0.0252,J15581+494,37.933,0.03,0.071,0.001,15857.388793489432,0.0010941902262796962,29.878615811172317,2.9411950116116055,1.0,,,,,,,,12.746,0.02,11.2197,0.0031,10.1921,0.0048,0.0010941902262796962,J15581+494,V1022 Her,13.448,0.04,UCAC4,12.746,0.02,11.949,0.03,UCAC4
J15597+440,2.0,0.9311,0.0364,J15597+440,42.083,0.314,0.124,0.005,22501.73225971581,8.365133731469154E-4,39.893656718735265,4.770792041693693,2.0,LA,Karmn,,54.9,4.6,,,12.726,0.06,10.9566,0.0029,9.9126,0.0043,8.365133731469153E-4,J15597+440,RX J1559.7+4403,13.402,0.03,UCAC4,12.726,0.06,11.833,0.02,UCAC4
J15598-082,1.0,0.4767,0.0118,J15598-082,13.281,0.004,0.038,0.0,69235.63553060743,5.4018425350965086E-5,0.7894684574338171,0.2452840370372582,1.0,,,,2.0,,20.0,2.0,11.267,0.0,9.6012,0.0028,8.5458,0.0038,5.4018425350965086E-5,J15598-082,BD-07 4156,11.992,0.01,UCAC4,11.267,0.0,10.537,0.06,UCAC4
J16090+529,0.0,0.597,0.021,J16090+529,16.95,0.004,0.065,0.001,72707.89298301947,2.6544572650436363E-5,0.6635877473480043,0.1653812016904053,0.0,,,,4.0,,16.299999237060547,0.1,11.045,0.01,9.4123,0.0028,8.4312,0.0038,2.6544572650436366E-5,J16090+529,MCC 759,11.746,0.05,UCAC4,11.045,0.01,10.166,0.04,UCAC4
J16120+033,2.0,0.7388,0.0283,J16120+033,29.716,0.172,0.079,0.002,28751.074916623817,6.152813620136788E-5,1.8694340594991703,0.68796019150982,2.0,UMa,Karmn,,3.0,,,,12.279,0.01,10.6069,0.0028,9.5262,0.0038,6.152813620136788E-5,J16120+033,TYC 371-1053-1,13.022,0.02,UCAC4,12.279,0.01,11.527,0.02,UCAC4
J16139+337,2.5,,,J16139+337,22.59,0.081,0.0,0.0,0.0,Infinity,1.2537848811167047,0.3908535394135752,2.5,,,,,,24.9481,,12.984,0.02,11.269,0.0032,10.0823,0.0038,Infinity,J16139+337,sig CrB,13.796,0.03,UCAC4,12.984,0.02,12.229,0.05,UCAC4
J16167+672S,0.0,0.6454,0.0151,J16167+672S,10.767,0.002,0.096,0.001,266127.31816331676,1.7070777448200555E-5,0.6302804221100958,0.06520620365691403,0.0,,,,2.7,1.5,,,9.956,0.2,7.9018,0.0028,6.9672,0.0038,1.707077744820056E-5,J16167+672S,HD 147379,9.906,0.14,UCAC4,9.956,0.2,8.896,0.08,UCAC4
J16170+552,1.0,,,J16170+552,20.149,0.172,0.0,0.0,0.0,Infinity,36.2493183194972,1.1986096473719086,1.0,,,,17.36,0.55,,,10.793,0.05,9.0784,0.0029,8.0149,0.0041,Infinity,J16170+552,CR Dra,11.572,0.03,UCAC4,10.793,0.05,9.946,0.03,UCAC4
J16180+062,3.0,0.5099,0.0211,J16180+062,28.676,0.143,0.031,0.001,12115.2446373123,2.9252400726931016E-4,3.4876466720697374,0.851245621024649,3.0,,,,,,,,13.497,0.01,11.6399,0.0029,10.4845,0.0038,2.9252400726931016E-4,J16180+062,EXO 161538+0624.2,14.332,0.01,UCAC4,13.497,0.01,12.718,0.01,UCAC4
J16220+228,1.5,0.9259,0.0357,J16220+228,52.176,0.298,0.123,0.004,14520.154757021734,0.0011697534147931767,55.33612261799884,5.564562318186026,1.5,,,,,,1.37,,12.879,0.01,11.3474,0.0032,10.3077,0.0046,0.001169753414793177,J16220+228,BPS BS 16542-0001,13.578,0.01,UCAC4,12.879,0.01,12.124,0.01,UCAC4
J16254+543,1.5,0.3002,0.00988,J16254+543,6.479,0.001,0.014,0.0,107181.47754584953,1.6094198954329088E-5,0.08665760752452305,0.028232795786030634,1.5,UMa,Karmn,,2.0,,76.79,0.13,10.991,0.05,9.1398,0.0028,8.0499,0.0038,1.6094198954329088E-5,J16254+543,GJ 625,11.784,0.02,UCAC4,10.991,0.05,10.066,0.04,UCAC4
J16255+260,3.0,,,J16255+260,18.9,0.5,0.0,0.0,0.0,Infinity,0.4728030984122815,0.18638531275036394,3.0,,,,,,,,12.944,0.02,11.5897,0.0114,9.9438,0.0039,Infinity,J16255+260,LTT 14899,13.791,0.01,UCAC4,12.944,0.02,12.226,0.01,UCAC4
J16259+834,1.5,0.566,0.0205,J16259+834,28.901,0.015,0.047,0.0,18083.387714927594,4.960353828179498E-5,0.8966434479874434,0.36585450787345625,1.5,UMa,Karmn,,,,,,12.88,0.001,11.0281,0.0028,9.9822,0.004,4.9603538281794984E-5,J16259+834,TYC 4647-2406-1,13.844,0.99,UCAC4,12.88,0.001,12.219,0.99,UCAC4
J16268-173,4.5,,,J16268-173,17.966,0.084,0.0,0.0,0.0,Infinity,0.7343219510204964,0.25146954295947277,4.5,,,,,,1.3200000524520874,,15.124,0.01,13.4775,0.0031,11.4242,0.0051,Infinity,J16268-173,LP 805-010,16.109,0.04,UCAC4,15.124,0.01,14.329,0.01,UCAC4
J16303-126,3.5,0.289,0.011,J16303-126,4.308,0.0,0.011,0.0,190479.8053706686,9.565318607698688E-6,0.04046703668245523,0.008128943509132326,3.5,LA,Karmn,,2.0,,119.0,1.0,10.845,0.07,8.8019,0.0028,7.5907,0.0038,9.565318607698691E-6,J16303-126,V2306 Oph,11.683,0.06,UCAC4,10.845,0.07,10.101,0.03,UCAC4
J16343+571,4.5,0.3334,0.0147,J16343+571,14.862,0.007,0.011,0.0,16004.63611756877,8.499412037404838E-4,3.5957612370604846,0.28468977580223737,4.5,,,,10.22,0.08,1.27,,13.999,0.219,11.4907,0.0028,10.2401,0.0039,8.499412037404839E-4,J16343+571,CM Dra,,,,13.999,0.219,,,
J16354+350,4.0,,,J16354+350,17.244,0.034,0.0,0.0,0.0,Infinity,5.1795238624454365,0.5562071755106328,4.0,,,,21.5,3.5,0.9166,,13.737,0.03,11.5974,0.0029,10.3511,0.0039,Infinity,J16354+350,LP 275-068,14.665,0.02,UCAC4,13.737,0.03,12.951,0.01,UCAC4
J16360+088,4.0,0.2515,0.0127,J16360+088,15.116,0.007,0.006,0.0,8438.886394005553,3.7670846038122166E-4,0.8692924507318962,0.231063909611991,4.0,,,,3.0,0.7,6.41,0.06,14.596,0.03,12.3856,0.0028,11.132,0.0038,3.7670846038122176E-4,J16360+088,G 138-043,15.516,0.01,UCAC4,14.596,0.03,13.815,0.04,UCAC4
J16401+007,4.0,0.2037,0.0113,J16401+007,11.275,0.004,0.004,0.0,10111.942770665772,6.172898961715398E-4,0.9496388213757183,0.17526175217555645,4.0,UMa,Karmn,,31.0,0.8,0.31,0.01,14.486,0.01,12.1795,0.0028,10.909,0.0039,6.172898961715398E-4,J16401+007,LP 625-034,15.39,0.06,UCAC4,14.486,0.01,13.705,0.02,UCAC4
J16403+676,5.5,0.1697,0.0106,J16403+676,14.322,0.047,0.002,0.0,3133.504823713926,0.0020121238622718136,1.547725748372504,0.142376040073919,5.5,,,,10.8,0.7,0.3781999945640564,,16.387,0.06,13.5517,0.0032,12.1371,0.0039,0.0020121238622718136,J16403+676,LP 069-457,17.173,0.01,UCAC4,16.387,0.06,15.634,0.01,UCAC4
J16509+224,4.5,0.1963,0.0112,J16509+224,10.469,0.003,0.003,0.0,8796.674719226388,7.051528295239801E-4,0.8136053417769059,0.12565434665257,4.5,,,,9.6,,,,14.833,0.01,12.3993,0.0028,11.0884,0.0038,7.051528295239804E-4,J16509+224,G 169-029,15.813,0.06,UCAC4,14.833,0.01,14.059,0.02,UCAC4
J16528+630,4.5,0.2151,0.0116,J16528+630,15.209,0.005,0.004,0.0,5557.332424302739,1.0238725386189877E-4,0.15751255882258983,0.05259645957784448,4.5,,,,,,,,15.042,0.02,12.7571,0.0029,11.471,0.0039,1.0238725386189878E-4,J16528+630,GSC 04194-01561,15.997,0.06,UCAC4,15.042,0.02,14.392,0.03,UCAC4
J16554-083S,3.0,,,J16554-083S,6.2,0.22,0.0,0.0,0.0,Infinity,13.463063834117378,0.30950734709731514,3.0,,,,2.9,2.0,,,10.24,0.34,8.2712,0.0104,6.7481,0.0039,Infinity,J16554-083S,V1054 Oph,10.595,0.07,UCAC4,10.24,0.34,9.442,0.44,UCAC4
J16570-043,3.5,0.25357,0.00923,J16570-043,8.702,0.002,0.007,0.0,29707.601648300344,9.674964987110764E-4,2.6046941542282473,0.18586834286302498,3.5,UMa,Karmn,,10.1,1.5,0.547,0.001,13.436,0.002,10.9134,0.0028,9.682,0.0039,9.674964987110764E-4,J16570-043,LP 686-027,13.878,0.03,APASS9,13.436,0.002,12.279,0.015,APASS9
J16573+271,2.0,,,J16573+271,36.671,0.039,0.0,0.0,0.0,Infinity,1.575541463083275,0.5890175551784863,2.0,,,,,,,,13.825,0.03,12.379,0.0028,10.9195,0.0078,Infinity,J16573+271,2MASS J16572235+2708304,14.669,0.08,UCAC4,13.825,0.03,13.097,0.08,UCAC4
J16578+473,1.5,,,J16578+473,17.93,0.006,0.0,0.0,0.0,Infinity,2.7901014690738375,0.3297182829792896,1.5,,,,,,,,11.344,0.006,10.4186,0.0028,9.3354,0.0051,Infinity,J16578+473,HD 153557B,12.086,0.0,UCAC4,11.344,0.006,10.846,0.0,UCAC4
J16591+209,3.5,,,J16591+209,19.696,0.028,0.0,0.0,0.0,Infinity,14.49964774119307,0.9545106089247488,3.5,,,,6.5,1.0,4.1037,,13.186,0.01,11.5042,0.0029,9.9833,0.004,Infinity,J16591+209,RX J1659.1+2058,14.065,0.01,UCAC4,13.186,0.01,12.454,0.01,UCAC4
J17038+321,2.0,,,J17038+321,18.426,0.115,0.0,0.0,0.0,Infinity,6.807415864344102,0.5469011348530762,2.0,,,,,,14.54,,12.665,0.07,10.869,0.0028,9.6051,0.0082,Infinity,J17038+321,LP  331-57 A,13.57,0.11,UCAC4,12.665,0.07,11.887,0.07,UCAC4
J17121+456,3.5,,,J17121+456,5.98,0.18,0.0,0.0,0.0,Infinity,0.17614867164736414,0.02233955424773761,3.5,,,,4.0,,,,10.545,0.01,8.8602,0.0045,7.1364,0.0049,Infinity,J17121+456,HD 155876,10.25,0.0,UCAC4,10.545,0.01,9.523,0.01,UCAC4
J17166+080,2.0,0.3957,0.0112,J17166+080,15.121,0.007,0.023,0.0,32327.67387112125,6.298009629360395E-5,0.5571093368767759,0.22957501136357847,2.0,,,,2.0,,,,12.223,0.01,10.4785,0.0028,9.3745,0.0038,6.298009629360393E-5,J17166+080,GJ 2128,13.018,0.01,UCAC4,12.223,0.01,11.49,0.01,UCAC4
J17183+181,3.0,,,J17183+181,21.255,0.128,0.0,0.0,0.0,Infinity,1.9004180372894313,0.44928799023372845,3.0,,,,,,,,13.832,0.03,12.0582,0.0033,10.6691,0.0039,Infinity,J17183+181,LP 447-038,14.666,0.03,UCAC4,13.832,0.03,13.111,0.04,UCAC4
J17183-017,0.0,,,J17183-017,22.207,0.094,0.0,0.0,0.0,Infinity,1.5769498187344324,0.4473533004806341,0.0,,,,4.0,,,,11.312,0.01,9.8874,0.0029,8.8399,0.0038,Infinity,J17183-017,MCC 791,11.994,0.01,UCAC4,11.312,0.01,10.574,0.01,UCAC4
J17198+265,4.5,,,J17198+265,10.758,0.004,0.0,0.0,0.0,Infinity,6.534931899580338,0.33199594152070544,4.5,,,,6.1,,1.4542,,13.693,0.0,11.4587,0.0028,10.1672,0.004,Infinity,J17198+265,V639 Her,14.84,0.02,UCAC4,13.693,0.0,13.295,0.01,UCAC4
J17285+374,3.0,0.3133,0.0141,J17285+374,20.304,0.006,0.011,0.0,8575.058657912758,3.535835946792075E-4,1.4958707475443238,0.28664275775419934,3.0,UMa,Karmn,,,,,,14.02,0.07,12.1087,0.0028,10.9371,0.0038,3.535835946792075E-4,J17285+374,Wolf 750,14.94,0.2,UCAC4,14.02,0.07,13.243,0.06,UCAC4
J17312+820,4.0,0.185,0.0107,J17312+820,12.864,0.004,0.003,0.0,5826.085272679847,1.484701938011398E-4,0.1713049110967963,0.05248069189551414,4.0,,,,,,79.22,,14.949,0.01,12.6529,0.0029,11.3867,0.004,1.4847019380113982E-4,J17312+820,GJ 1220,15.929,0.04,UCAC4,14.949,0.01,14.153,0.01,UCAC4
J17338+169,5.5,0.2916,0.1005,J17338+169,16.417,0.129,0.01,0.0,11923.947806908289,6.40056472325443E-4,2.461657137541328,0.37286107271768293,5.5,LA,Karmn,,41.5,7.7,0.265951,4.513565E-6,15.132,0.04,12.3997,0.0032,11.0214,0.005,6.40056472325443E-4,J17338+169,1RXS J173353.5+165515,16.131,0.02,UCAC4,15.132,0.04,14.377,0.06,UCAC4
J17340+446,3.5,,,J17340+446,26.567,0.152,0.0,0.0,0.0,Infinity,0.954476130026227,0.351382371644926,3.5,,,,3.0,,,,13.622,0.01,12.5561,0.0034,10.4209,0.0038,Infinity,J17340+446,RX J1734.0+4447B,14.504,0.01,UCAC4,13.622,0.01,12.867,0.01,UCAC4
J17355+616,0.5,0.5532,0.0127,J17355+616,14.308,0.003,0.059,0.0,92619.37322829383,4.217260129025898E-5,0.9569553707183573,4.2137829728219074E-41,0.5,,,,2.0,,19.3,0.3,10.955,0.001,9.1746,0.0028,8.1746,0.0039,4.217260129025898E-5,J17355+616,BD+61 1678,11.401,0.01,UCAC4,10.955,0.001,9.976,0.01,UCAC4
J17364+683,3.0,0.4325,0.0244,J17364+683,4.55,0.0,0.022,0.0,341513.21340263466,1.2178152284222195E-5,0.1030417815489182,0.005574513267827943,3.0,,,,2.5,,,,10.459,0.18,8.0286,0.0028,6.8671,0.0039,1.2178152284222194E-5,J17364+683,BD+68 946,11.092,0.0,UCAC4,10.459,0.18,9.392,0.0,UCAC4
J17386+612,4.0,0.3676,0.0161,J17386+612,32.315,0.013,0.011,0.0,3385.260251903031,0.014801520330803447,62.61931157218781,1.483408055047365,4.0,Cas,Karmn,,,,1.8483999967575075,,15.359,0.019,13.2846,0.0033,12.0436,0.0058,0.01480152033080345,J17386+612,[RHG95] 2805,,,,15.359,0.019,,,
J17395+277S,0.5,0.6322,0.0228,J17395+277S,27.792,0.01,0.073,0.002,30373.225887721354,5.4719243422348185E-5,1.5362865118983058,0.6063802740652512,0.5,,,,,,,,11.859,0.06,10.3373,0.0028,9.3547,0.0038,5.4719243422348206E-5,J17395+277S,LP 332-045,12.552,0.09,UCAC4,11.859,0.06,11.116,0.04,UCAC4
J17430+057,1.0,,,J17430+057,20.908,0.287,0.0,0.0,0.0,Infinity,3.0206710368722205,0.601623054971287,1.0,,,,,,,,11.545,0.01,9.9616,0.0049,8.7879,0.0039,Infinity,J17430+057,G 140-009,12.197,0.01,UCAC4,11.545,0.01,10.657,0.01,UCAC4
J17439+433,2.5,,,J17439+433,9.532,0.002,0.0,0.0,0.0,Infinity,0.2294309908041533,0.04751722722421184,2.5,,,,2.5,,,,11.319,0.01,9.4501,0.0028,8.3285,0.0039,Infinity,J17439+433,GJ 694,12.096,0.01,UCAC4,11.319,0.01,10.488,0.01,UCAC4
J17455+468,0.0,,,J17455+468,21.489,0.016,0.0,0.0,0.0,Infinity,0.5377084700998126,0.1746309209870531,0.0,,,,4.0,,17.299999237060547,0.1,11.496,0.03,9.9625,0.0028,8.9459,0.0039,Infinity,J17455+468,BD+46 2361,12.345,0.1,UCAC4,11.496,0.03,10.718,0.06,UCAC4
J17464+277,3.5,,,J17464+277,8.341,0.014,0.0,0.0,0.0,Infinity,0.6615861187029164,0.05578438271325822,3.5,,,,,,,,10.257,0.174,9.185,0.003,7.454,0.0041,Infinity,J17464+277,mu.02 Her B,,,,10.257,0.174,,,
J17464-087,3.5,,,J17464-087,13.066,0.006,0.0,0.0,0.0,Infinity,1.2971561209682514,0.29747350458172994,3.5,,,,2.7,,58.43,,13.451,0.05,11.2752,0.0028,10.0131,0.0039,Infinity,J17464-087,Wolf 1473,14.408,0.09,UCAC4,13.451,0.05,12.706,0.06,UCAC4
J17521+647,0.5,0.639,0.0252,J17521+647,29.728,0.01,0.074,0.003,26909.64600962373,1.3601070654413173E-5,0.3870919162415041,0.10047467736848029,0.5,,,,,,,,11.892,0.1,10.4682,0.0028,9.5038,0.0039,1.3601070654413171E-5,J17521+647,G 227-020,12.515,0.06,UCAC4,11.892,0.1,11.126,0.02,UCAC4
J17578+465,2.5,0.3906,0.0116,J17578+465,13.987,0.003,0.021,0.0,34496.71756392291,5.1222263587003676E-5,0.413701728509266,0.08171019206732952,2.5,HS,Karmn,,2.0,,30.3,0.9,12.514,0.12,10.5701,0.0028,9.4115,0.0038,5.122226358700369E-5,J17578+465,G 204-039,13.327,0.03,UCAC4,12.514,0.12,11.741,0.04,UCAC4
J18022+642,5.0,0.16383,0.00966,J18022+642,7.794,0.002,0.003,0.0,15871.139239454009,7.735424812307576E-4,0.8925133226020808,0.025008111323392864,5.0,UMa,Karmn,,11.3,1.5,0.280171,4.97326E-7,14.114,0.12,11.7581,0.0029,10.4484,0.0039,7.735424812307577E-4,J18022+642,LP 071-082,15.107,0.08,UCAC4,14.114,0.12,13.373,0.05,UCAC4
J18051-030,1.0,0.4413,0.0113,J18051-030,7.739,0.002,0.033,0.0,177072.82846937494,1.3519861144703001E-5,0.1715913727465558,0.060207495986431436,1.0,,,,2.0,,127.8000030517578,3.2,10.225,0.01,8.5194,0.0028,7.4829,0.0038,1.3519861144703E-5,J18051-030,HD 165222,10.867,0.03,UCAC4,10.225,0.01,9.379,0.02,UCAC4
J18063+728,0.0,0.5982,0.0206,J18063+728,32.632,0.013,0.072,0.001,21729.651277052068,3.690809281503228E-5,1.0220293357635066,0.24977275314794564,0.0,HS,Karmn,,,,,,11.965,0.02,10.6293,0.0028,9.6821,0.0038,3.6908092815032284E-5,J18063+728,NLTT 46021,12.599,0.01,UCAC4,11.965,0.02,11.243,0.04,UCAC4
J18075-159,4.5,0.15881,0.00854,J18075-159,7.971,0.002,0.003,0.0,15174.111879442067,0.0012941119247218212,1.4931463517229788,0.19457970698572075,4.5,,,,2.2,1.5,3.866,0.008,14.301,0.01,11.863,0.0028,10.5603,0.0039,0.0012941119247218214,J18075-159,GJ 1224,15.288,0.02,UCAC4,14.301,0.01,13.548,0.01,UCAC4
J18131+260,4.0,0.3327,0.0168,J18131+260,17.844,0.007,0.012,0.0,12111.682851202875,0.0021784751593178814,10.05409864267757,0.8185030781242221,4.0,,,,5.9,1.5,2.281354,3.6879498E-4,13.8,0.08,11.9191,0.0029,10.6793,0.0043,0.002178475159317882,J18131+260,LP 390-16,14.703,0.105,APASS9,13.8,0.08,13.258,0.036,APASS9
J18174+483,2.0,0.5221,0.1085,J18174+483,19.84,0.006,0.045,0.0,36739.80538727054,2.906112303326378E-4,5.02960876322565,0.3919298079424534,2.0,LA,Karmn,,2.0,,16.02560043334961,,12.045,0.04,10.3734,0.0029,9.275,0.0041,2.906112303326378E-4,J18174+483,TYC 3529-1437-1,12.81,0.06,UCAC4,12.045,0.04,11.37,0.03,UCAC4
J18189+661,4.5,0.14566,0.00941,J18189+661,7.642,0.001,0.002,0.0,11005.850008963078,3.8633997842771876E-4,0.29717272552154766,0.013069450489192799,4.5,,,,15.3,1.5,0.52255,1.4177435E-6,14.359,0.01,11.9117,0.0028,10.6238,0.0038,3.8633997842771876E-4,J18189+661,LP 71-165,15.326,0.02,UCAC4,14.359,0.01,13.406,0.01,UCAC4
J18198-019,-1.0,0.5948,0.0133,J18198-019,19.085,0.006,0.092,0.001,81172.92656429287,3.268331238799137E-5,1.1564401811344678,0.38271935875251006,-1.0,Cas,Karmn,,6.42,0.78,,,10.633,0.01,9.0631,0.0028,8.1827,0.0038,3.268331238799137E-5,J18198-019,HD 168442,10.994,0.01,UCAC4,10.633,0.01,9.919,0.01,UCAC4
J18346+401,3.5,0.4088,0.0155,J18346+401,10.893,0.002,0.021,0.0,56876.3833045014,2.6654297343567993E-5,0.21527609502270825,0.06461122952720183,3.5,UMa,Karmn,,2.0,,40.2,0.8,12.225,0.01,10.1682,0.0028,8.9478,0.0039,2.6654297343567993E-5,J18346+401,LP 229-017,13.175,0.04,UCAC4,12.225,0.01,11.464,0.04,UCAC4
J18353+457,0.5,0.5965,0.0131,J18353+457,15.568,0.003,0.07,0.0,92819.68019156704,1.3607028259927568E-5,0.3663284163734039,0.10064604938863222,0.5,,,,2.0,,34.0,2.9,10.716,0.09,9.1073,0.0028,8.1371,0.0038,1.360702825992757E-5,J18353+457,BD+45 2743,11.169,0.06,UCAC4,10.716,0.09,9.83,0.03,UCAC4
